*    FB  Tele Strip  Intertcept   	Slope
     0     4    15   -0.678966    0.00689550
     0     4    16   -0.519267    0.00699652
     0     4    17   -0.436829    0.00696803
     0     4    18   -0.718689    0.00699559
     0     4    19   -0.700536    0.00693785
     0     4    20   -0.763244    0.00696577
     0     4    21   -0.804563    0.00693382
     0     4    22   -0.613774    0.00692049
     0     4    23   -0.825218    0.00688535
     0     4    24   -0.746350    0.00693561
     0     4    25   -0.993904    0.00692423
     0     4    26   -0.530271    0.00694823
     0     4    27   -0.823331    0.00692919
     0     4    28   -0.723072    0.00695455
     0     4    29   -0.746332    0.00688280
     0     4    30   -1.148415    0.00690905
     0     4    31   -0.612630    0.00694258
     0     5     0   -0.328513    0.00721862
     0     5     1   -0.181837    0.00673416
     0     5     2   -0.360706    0.00692488
     0     5     3   -0.160320    0.00664890
     0     5     4   -0.424813    0.00685599
     0     5     5   -0.167498    0.00663732
     0     5     6   -0.456604    0.00684669
     0     5     7   -0.216051    0.00665212
     0     5     8   -0.608801    0.00684019
     0     5     9   -0.340042    0.00665942
     0     5    10   -1.036830    0.00694972
     0     5    11   -0.424386    0.00688825
     0     5    12   -0.558537    0.00717667
     0     5    13   -0.263169    0.00687295
     0     5    14   -0.740673    0.00713223
     0     5    15   -0.193728    0.00678125
     0     5    16   -0.349506    0.00701156
     0     5    17   -0.207905    0.00681267
     0     5    18   -0.599316    0.00701089
     0     5    19   -0.392797    0.00689677
     0     5    20   -0.536003    0.00707718
     0     5    21   -0.242435    0.00683569
     0     5    22   -0.406748    0.00696818
     0     5    23   -0.410121    0.00666360
     0     5    24   -0.524663    0.00685094
     0     5    25   -0.222654    0.00665500
     0     5    26   -0.619623    0.00691846
     0     5    27   -0.307997    0.00662607
     0     5    28   -0.760595    0.00680707
     0     5    29   -0.338892    0.00662499
     0     5    30   -0.460770    0.00687139
     0     5    31   -0.275137    0.00703428
     0     6     0   -0.365550    0.00688318
     0     6     1   -0.326399    0.00675743
     0     6     2   -0.639847    0.00685853
     0     6     3   -0.181306    0.00675804
     0     6     4   -0.497096    0.00690611
     0     6     5   -0.339034    0.00676268
     0     6     6   -0.335892    0.00689600
     0     6     7   -0.064093    0.00684245
     0     6     8   -0.872568    0.00687173
     0     6     9   -0.426617    0.00676239
     0     6    10   -0.643171    0.00686926
     0     6    11   -0.515167    0.00677053
     0     6    12   -0.723917    0.00693401
     0     6    13   -0.560785    0.00678743
     0     6    14   -0.486971    0.00693595
     0     6    15   -0.290152    0.00680074
     0     6    16   -0.582101    0.00694216
     0     6    17   -0.487478    0.00676808
     0     6    18   -0.824767    0.00694907
     0     6    19   -0.451359    0.00676346
     0     6    20   -0.572772    0.00691182
     0     6    21   -0.497034    0.00675098
     0     6    22   -0.814521    0.00690688
     0     6    23   -0.494575    0.00675237
     0     6    24   -0.747073    0.00688812
     0     6    25   -0.554657    0.00674174
     0     6    26   -0.764083    0.00689908
     0     6    27   -0.485388    0.00675578
     0     6    28   -0.697974    0.00687779
     0     6    29   -0.367938    0.00675511
     0     6    30   -0.682285    0.00694563
     0     6    31   -0.378731    0.00673321
     0     7     0   -0.324441    0.00676895
     0     7     1   -0.200486    0.00689773
     0     7     2   -0.278876    0.00669883
     0     7     3   -0.280599    0.00694359
     0     7     4   -0.169069    0.00669696
     0     7     5    0.019854    0.00690643
     0     7     6   -0.630352    0.00666586
     0     7     7   -0.143838    0.00689700
     0     7     8   -0.358389    0.00681418
     0     7     9   -0.551056    0.00687743
     0     7    10   -0.519398    0.00658356
     0     7    11   -0.322120    0.00693116
     0     7    12   -0.697822    0.00671344
     0     7    13   -0.563482    0.00693477
     0     7    14   -0.712603    0.00672523
     0     7    15   -0.346951    0.00701918
     0     7    16   -0.550846    0.00671432
     0     7    17   -0.056064    0.00699463
     0     7    18   -0.598139    0.00690258
     0     7    19   -0.224238    0.00693585
     0     7    20   -0.660740    0.00671191
     0     7    21   -0.535533    0.00688434
     0     7    22   -0.500168    0.00666986
     0     7    23    0.010471    0.00708462
     0     7    24   -0.486734    0.00675047
     0     7    25   -0.336220    0.00688985
     0     7    26   -0.508738    0.00681162
     0     7    27   -0.362344    0.00688175
     0     7    28   -0.622169    0.00669057
     0     7    29   -0.208062    0.00690476
     0     7    30   -0.412113    0.00675606
     0     7    31   -0.591815    0.00681915
     0     8     0   -0.464648    0.00685012
     0     8     1   -0.349896    0.00695660
     0     8     2   -0.397122    0.00686964
     0     8     3   -0.467263    0.00697363
     0     8     4   -0.541056    0.00683768
     0     8     5   -0.185411    0.00696383
     0     8     6   -0.473671    0.00686895
     0     8     7   -0.305560    0.00702080
     0     8     8   -0.689055    0.00686927
     0     8     9   -0.491835    0.00697766
     0     8    10   -0.583320    0.00688298
     0     8    11   -0.449007    0.00697304
     0     8    12   -0.494580    0.00693481
     0     8    13   -0.573438    0.00695598
     0     8    14   -0.771195    0.00690262
     0     8    15   -0.788360    0.00697552
     0     8    16   -0.538509    0.00686855
     0     8    17   -0.436564    0.00697978
     0     8    18   -0.654804    0.00680663
     0     8    19   -0.480196    0.00700463
     0     8    20   -0.614864    0.00683214
     0     8    21   -0.578826    0.00697110
     0     8    22   -0.708196    0.00683772
     0     8    23   -0.438955    0.00699477
     0     8    24   -0.376710    0.00684501
     0     8    25   -0.653892    0.00694367
     0     8    26   -0.455846    0.00688562
     0     8    27   -0.618256    0.00695876
     0     8    28   -0.794783    0.00683285
     0     8    29   -0.514328    0.00691766
     0     8    30   -0.418681    0.00687250
     0     8    31   -0.561614    0.00703037
     0     9     0   -0.553620    0.00682458
     0     9     1   -0.137860    0.00688749
     0     9     2   -0.317117    0.00701052
     0     9     3   -0.276805    0.00684881
     0     9     4   -0.753095    0.00683436
     0     9     5   -0.133099    0.00689126
     0     9     6   -0.350321    0.00684564
     0     9     7   -0.387010    0.00691326
     0     9     8   -0.704774    0.00682797
     0     9     9   -0.593169    0.00688339
     0     9    10   -0.671873    0.00684253
     0     9    11   -0.494817    0.00688654
     0     9    12   -0.642503    0.00682928
     0     9    13   -0.614530    0.00689703
     0     9    14   -0.498126    0.00686607
     0     9    15   -0.498126    0.00686607
     0     9    16   -0.391188    0.00748342
     0     9    17   -0.274177    0.00689131
     0     9    18   -0.656074    0.00681681
     0     9    19   -0.575201    0.00698557
     0     9    20   -0.533532    0.00680410
     0     9    21   -0.453856    0.00689224
     0     9    22   -0.527143    0.00682524
     0     9    23   -0.605138    0.00695078
     0     9    24   -0.616374    0.00679091
     0     9    25   -0.560583    0.00688143
     0     9    26   -0.731446    0.00678270
     0     9    27   -0.514920    0.00693815
     0     9    28   -0.494797    0.00682062
     0     9    29   -0.575191    0.00686530
     0     9    30   -0.471639    0.00684684
     0     9    31   -0.587289    0.00687588
     0    10     0   -0.774319    0.00697911
     0    10     1   -0.276449    0.00697144
     0    10     2   -0.509896    0.00702703
     0    10     3   -0.331177    0.00687925
     0    10     4   -0.476207    0.00702253
     0    10     5   -0.279508    0.00694998
     0    10     6   -0.603577    0.00703234
     0    10     7   -0.368288    0.00691338
     0    10     8   -0.613576    0.00700618
     0    10     9   -0.551658    0.00689824
     0    10    10   -0.663575    0.00703102
     0    10    11   -0.547965    0.00687440
     0    10    12   -0.619624    0.00704907
     0    10    13   -0.330369    0.00693909
     0    10    14   -0.884681    0.00699043
     0    10    15   -0.378762    0.00688608
     0    10    16   -0.477443    0.00703594
     0    10    17   -0.510474    0.00689345
     0    10    18   -0.707766    0.00695951
     0    10    19   -0.438904    0.00689766
     0    10    20   -0.474060    0.00698660
     0    10    21   -0.530944    0.00685537
     0    10    22   -0.606895    0.00697606
     0    10    23   -0.597448    0.00689722
     0    10    24   -0.614737    0.00697588
     0    10    25   -0.338700    0.00689323
     0    10    26   -0.866374    0.00693269
     0    10    27   -0.503339    0.00689797
     0    10    28   -0.743342    0.00694933
     0    10    29   -0.679787    0.00686552
     0    10    30   -0.617958    0.00700873
     0    10    31   -0.610803    0.00686394
     0    11     0   -0.373829    0.00666594
     0    11     1   -0.272613    0.00709101
     0    11     2   -0.337079    0.00667352
     0    11     3   -0.424782    0.00715221
     0    11     4   -0.184130    0.00674474
     0    11     5   -0.348484    0.00710717
     0    11     6   -0.610038    0.00667417
     0    11     7   -0.373212    0.00711796
     0    11     8   -0.621186    0.00664231
     0    11     9   -0.340747    0.00713575
     0    11    10   -0.540019    0.00671627
     0    11    11   -0.659092    0.00719053
     0    11    12   -0.712044    0.00662849
     0    11    13   -0.598498    0.00717375
     0    11    14   -0.853657    0.00661303
     0    11    15   -0.534865    0.00720590
     0    11    16   -0.545491    0.00669312
     0    11    17   -0.649183    0.00720360
     0    11    18   -0.485803    0.00667709
     0    11    19   -0.336915    0.00721011
     0    11    20   -0.572267    0.00670167
     0    11    21   -0.444870    0.00719094
     0    11    22   -0.758003    0.00664417
     0    11    23   -0.544929    0.00715891
     0    11    24   -0.724080    0.00664202
     0    11    25   -0.617316    0.00716775
     0    11    26   -0.536571    0.00666852
     0    11    27   -0.818541    0.00717613
     0    11    28   -0.637134    0.00669994
     0    11    29   -0.516050    0.00721577
     0    11    30   -0.617577    0.00667983
     0    11    31   -0.636427    0.00722868
     1     0     0   -1.033872    0.00697541
     1     0     1   -0.974339    0.00718587
     1     0     2   -1.038813    0.00696374
     1     0     3   -1.071961    0.00708746
     1     0     4   -1.055635    0.00696230
     1     0     5   -1.116791    0.00707968
     1     0     6   -0.887917    0.00695994
     1     0     7   -1.135142    0.00706317
     1     0     8   -0.987911    0.00695936
     1     0     9   -1.229511    0.00706738
     1     0    10   -1.002617    0.00697450
     1     0    11   -1.134574    0.00711326
     1     0    12   -1.163731    0.00694518
     1     0    13   -1.197744    0.00710342
     1     0    14   -1.035532    0.00698746
     1     0    15   -1.202563    0.00707731
     1     0    16   -1.069643    0.00701060
     1     0    17   -1.131385    0.00707172
     1     0    18   -0.952176    0.00698440
     1     0    19   -1.111873    0.00705581
