*    FB  Tele Strip  Intertcept   	Slope
     1    10    25   -0.996910    0.00706045
     1    10    26   -1.100455    0.00712699
     1    10    27   -1.243903    0.00690772
     1    10    28   -1.066430    0.00710908
     1    10    29   -1.121179    0.00689977
     1    10    30   -1.150872    0.00711905
     1    10    31   -1.248020    0.00696737
     1    11     0   -1.136383    0.00717610
     1    11     1   -1.072988    0.00684647
     1    11     2   -1.052300    0.00716652
     1    11     3   -0.982583    0.00686017
     1    11     4   -0.970793    0.00718248
     1    11     5   -1.049910    0.00687188
     1    11     6   -1.145983    0.00720199
     1    11     7   -1.014163    0.00686430
     1    11     8   -1.005172    0.00715172
     1    11     9   -0.975872    0.00688977
     1    11    10   -1.046476    0.00717260
     1    11    11   -1.107446    0.00692052
     1    11    12   -1.075056    0.00716110
     1    11    13   -0.839928    0.00673168
     1    11    14   -1.139709    0.00718503
     1    11    15   -1.063786    0.00682104
     1    11    16   -1.196193    0.00719799
     1    11    17   -0.504432    0.00643102
     1    11    18   -1.078084    0.00717976
     1    11    19   -0.468635    0.00642145
     1    11    20   -1.046462    0.00716458
     1    11    21   -1.005156    0.00684242
     1    11    22   -1.077104    0.00714416
     1    11    23   -0.670679    0.00655532
     1    11    24   -1.052610    0.00717580
     1    11    25   -0.389890    0.00644583
     1    11    26   -1.079058    0.00718069
     1    11    27   -0.587466    0.00654752
     1    11    28   -1.116717    0.00716432
     1    11    29   -0.401254    0.00638732
     1    11    30   -1.018848    0.00720738
     1    11    31   -1.338089    0.00797961
